分类,问题,公司
,计算岛屿数量,字节
,最长递增子序列,字节
,给定邻接矩阵和集合a和b，找出总距离最近的a-b连接集合，要求a都用到，b不用都用到且可以重复；要求时间复杂度N,字节
,"给定一个数列，要求找到一个分隔点划分A1和A2，使得A1和A2的方差最接近（要求时间复杂度 O(n), 空间复杂度 O(1)）",字节
,移掉 K 位数字,字节
,三门问题，三扇门其中一个有奖品两个是空的，你先选一扇，然后主持人打开一扇是空的，此时问是否要更换选择,字节
,10个同学，至少两个生日为同一天的概率是多少？,字节
,如何提高通信系统的速率,TP-Link
,定时同步的实现方法,TP-Link
,香农公式及其极限（带宽无限大时的表现）,TP-Link
,多径的概念及其对通信的影响,TP-Link
,加CP（循环前缀）的影响（如果换成全0会怎样）,TP-Link
,OFDM的接收流程,TP-Link
,求n对括号可以组成的合法字符串,TP-Link
,决策树种类以及区别，具体讲讲每种决策树的划分策略,TP-Link
,随机森林，bagging，boosting原理，随机森林在训练数据上有什么要求,TP-Link
,XGBoost的损失函数,TP-Link
,位置编码，具体实现细节,TP-Link
,KV-Cache,TP-Link
,Attention公式，复杂度，cross attention和self attention区别,TP-Link
,sigmoid公式,TP-Link
,层归一化公式,TP-Link
,CNN，PointWise和DepthWise,TP-Link
,变分自编码器,TP-Link
,XGBoost 为什么比传统 GBDT 快？,滴滴
,XGBoost 的目标函数推导？,滴滴
,如何用 XGBoost 处理不平衡分类问题？,滴滴
,特征工程中，如何处理高维稀疏特征？,滴滴
,特征工程中，为什么要对连续特征离散化？,滴滴
,特征工程中，如何量化特征与目标变量的因果关系（非相关性）？,滴滴
,Uplift 模型评估指标有哪些？如何计算？,滴滴
,Uplift 模型与传统分类模型的核心区别？,滴滴
,因果推断中，混淆变量（Confounder）和中介变量（Mediator）的区别？,滴滴
,因果推断中，若无法获取随机对照数据（RCT），如何估计因果效应？,滴滴
,说说对多模态的了解,网易
,模态对齐有哪些方法,网易
,请简述什么是大模型，以及它与传统模型的主要区别是什么？,米哈游
,请简述你了解的大模型的主要结构特点。,米哈游
,谈谈你对Transformer模型的理解，以及它在自然语言处理中的应用。,米哈游
,请简述Transformer的基本结构和工作原理？,米哈游
,Transformer在自然语言处理中有哪些应用？,米哈游
,"transformer里边norm的位置在哪里, norm如何计算的？",米哈游
,你如何评估大模型的性能？有哪些常用的评估指标？,米哈游
,指令跟随能力的评估集有什么，如何评估的?,米哈游
,reward bench上的reward model分哪几类?,米哈游
,大模型中的注意力机制是如何工作的？它在大模型中起到了什么作用？,米哈游
,多头自注意力机制的作用是什么？,米哈游
,"注意力机制为什么除以根号dk, 为什么不是dk？",米哈游
,请解释什么是注意力机制，并举例说明其应用场景。,米哈游
,注意力机制是如何工作的？请简述其计算过程。,米哈游
,多头注意力机制是什么？它相比单头注意力有什么优势？,米哈游
,为什么Transformer使用位置编码(Positional Encoding)？,米哈游
,大模型中的优化算法有哪些常见的选择？它们各有什么优缺点？,米哈游
,如何处理大模型训练过程中的梯度消失或梯度爆炸问题？,米哈游
,在大模型设计中，如何权衡模型的复杂度和性能？,米哈游
,如何优化 Transformer 模型的性能？,米哈游
,reward model如何训练的，训练目标是什么?,米哈游
,dp0训练的损失函数和训练目标，dpo如何改进？,米哈游
,阿尔法狗强化学习策略是什么?,米哈游
,"提升推理能力和指令跟随能力哪个更难, 为什么?",米哈游
,提升指令跟随能力的优化方式和其他的比如推理有什么不一样的地方?,米哈游
,怎么理解大模型安全，包含哪些方面的内容？,米哈游
,讲一下Transformer架构,阿里
,Encoder-only、decoder-only、encoder-decoder不同架构在实际应用的使用场景,阿里
,llama2网络架构？使用了哪些注意力机制,阿里
,llama2的位置编码了解吗？讲讲几种位置编码的异同,阿里
,基础大模型训练流程及资源使用情况,阿里
,了解langchain吗？讲讲主要结构和主要组件，处理复杂任务链时有哪些优势,阿里
,几种主流大模型的loss了解过吗？有哪些异同？,阿里
,显存不够时，一般怎么解决的，有哪些常见的优化方法,阿里
,了解半精度训练吗？展开讲讲原理和优点，在实际应用中有哪些挑战,阿里
,deepspeed用过吗？分布式训练中如何提升效率,阿里
,手写实现下分组注意力,阿里
,合并K个升序链表,阿里
,为什么需要头文件,大疆
,头文件分尖括号和双引号，应该如何写引入的顺序,大疆
,就是要先写双引号再写尖括号，为什么,大疆
,float可以移位吗,大疆
,就是要float移位怎么办(可以用指针强转),大疆
,new和malloc,大疆
,进程间、线程间通讯，管道的优势,大疆
,同进程多线程，可以socket通讯吗,大疆
,编译器优化做了什么，O2 和 O3 的区别？,大疆
,cacheline填充减少伪共享？,大疆
,仿射变换原理，简单说一下,大疆
,页表实现机制，分页的缺点？三层页表的原理，页表的意义,大疆
,手撕螺旋矩阵 给一个整数N ，螺旋打印1 - N*N,大疆
,逻辑回归推导（loss函数和梯度）,小米
,XGBoost相关问题：GBDT和XGB的区别、如何选最优分裂节点、预排序的作用、分箱方法（等宽/等深）、缺失值处理（训练和预测时）,小米
,设计模式：工厂模式、单例模式、装饰器模式,小米
,链表对折（12345→15243）,小米
,矩阵最短路径（m×n矩阵，只能右/下移动），要求：O(n)空间复杂度,小米
,找链表中点/倒数第k个节点,小米
,翻转链表,小米
,合并链表,小米
