题目来源：牛客网（近两年面试经验帖，仅供参考）,Unnamed: 1,Unnamed: 2
,在实习中有没有发现过什么异常变动，怎么解决的？,美团
,说一下物流运营岗位的职责,顺丰
,什么是运营？对运营的了解和自己的看法？,腾讯
,创作者运营和用户增长的区别？,腾讯
,产品运营和内容运营的差别？,腾讯
,用户喜好和运营导向有什么区别？哪个重要？,腾讯
,创作者运营有什么心得？怎么样激励创作者？,腾讯
,对优质内容的定义,作业帮
,推push怎么分析用户的喜好，怎么提高ctr,作业帮
,讲讲上一段实习怎么0-1打造创作者的,作业帮
,讲讲之前策划话题的时候最成功的话题是怎么做的，为什么会成功,作业帮
,假如让你对我们的k12用户写内容推荐，你会写什么样的内容,作业帮
,平时会使用什么社交社区类app，最喜欢用哪个,作业帮
,小红书上列举两个你最喜欢的博主，为什么喜欢，分析一下他们,作业帮
,上段实习中的运营指标如何得出的,虎牙
,平常常观看的直播内容,虎牙
,直播应用需要关注的指标,虎牙
,运营需要什么技术,去哪儿旅行
,你如何对一个三岁小孩解释数据分析？（并且面试官让我将他模拟为三岁小孩讲解）,去哪儿旅行
,在安克创新的产品运营主要做了什么?,SHEIN
,产品经理和产品运营的区别? 两者重叠的核心部分是什么？,SHEIN
,为什么想做产品运营？,SHEIN
,B端产品和C端产品的区别?,SHEIN
,为什么想做B端产品？（过往为电商运营经验）,SHEIN
,简历浅挖（简单介绍前两段实习负责的项目，预期达到的目标，活动具体内容）,快手
3. 公司与岗位相关,对百度的看法，百度在电商领域的心得,百度
,谈谈你对这个岗位的理解和最感兴趣的部分,百度
,说说你的个人职业规划,百度
,针对岗位业务，你认为自己在工作中需要重点提升哪些技能？,百度
,技术运营和普通运维的区别？,腾讯
,如何调整京东的用户运营策略,京东
,对于京东的新用户，如何进行引导流程,京东
,问我两个base想要哪个并介绍各个base概况,科大讯飞
,说一下为什么选择顺丰而不是京东,顺丰
,说一下顺丰和京东的区别,顺丰
,选择直播行业的原因,虎牙
,如果要展开多线程任务，你会怎么做？,百度
,如果在工作中与团队成员产生意见分歧，你会如何处理？,百度
,这次实习的预期时长与到岗时间？,SHEIN
,需求收集与过滤占比较高，能接受吗？,SHEIN
,对该产品的哪条业务线感兴趣？,SHEIN
,未来希望做产品运营还是产品经理？,SHEIN
4. 其他,用三个和岗位需求相关的形容词形容自己,百度
,可以接受岗位的出勤天数和实习时长要求吗？,百度
,反问,百度
,面对用户流失可以通过哪些具体的方法去深入分析原因？怎么制定出有效的留存策略？,京东
,如何判断一次用户运营活动是成功还是失败？,京东
,用过SQL的复杂函数吗？,美团
,常见的三个排序窗口函数是什么？有什么区别？,美团
,字段：学号，分组，数学成绩，问用SQL怎么选出每组前2名？,美团
,选出前两名后，怎么直接在总表里直接把这些学生去掉？,美团
,估算北京市宠物医院的个数,去哪儿旅行
,井盖为什么是圆的,去哪儿旅行
